Datum,Fossile,Wind,Solar
2016-01-01,37521,9771,702
2016-02-01,32023,10371,1350
2016-03-01,35256,6331,2591
2016-04-01,30078,6235,4129
2016-05-01,27404,6445,5190
2016-06-01,27909,4434,5436
2016-07-01,27991,4434,5436
2016-08-01,28239,4533,5191
2016-09-01,32634,4021,4233
2016-10-01,36135,5341,1846
2016-11-01,37183,7680,1122
2016-12-01,37774,8821,875
2017-01-01,37369,7813,869
2017-02-01,34284,9882,1612
2017-03-01,34069,9294,3518
2017-04-01,30025,8091,4312
2017-05-01,30663,5690,5127
2017-06-01,26768,7120,5984
2017-07-01,28811,5590,5466
2017-08-01,28736,5586,5150
2017-09-01,30773,6372,3446
2017-10-01,28855,12672,2385
2017-11-01,34430,10427,980
2017-12-01,31333,15171,553
2018-01-01,30804,14442,790
2018-02-01,34245,7940,1983
2018-03-01,33983,10661,2920
2018-04-01,26060,8892,5388
2018-05-01,25022,7194,6609
2018-06-01,26600,5739,5948
2018-07-01,30103,4392,6875
2018-08-01,29871,6044,5780
2018-09-01,27804,7881,4537
2018-10-01,30596,10615,3062
2018-11-01,33281,9825,1306
2018-12-01,29678,14264,586
2019-01-01,34566,13925,856
2019-02-01,30690,10893,2107
2019-03-01,24775,16485,3457
2019-04-01,25336,9073,5872
2019-05-01,24871,8281,5747
2019-06-01,21357,6577,7399
2019-07-01,24516,6566,6572
2019-08-01,24077,5792,6045
2019-09-01,23300,9109,4480
2019-10-01,27267,11642,2807
2019-11-01,31734,10075,1109
2019-12-01,25661,15188,1066
2020-01-01,28290,15990,1261
2020-02-01,20967,20329,1923
2020-03-01,22470,14167,4657
2020-04-01,16490,8758,7335
2020-05-01,16946,7638,7121
2020-06-01,20213,6414,6613
2020-07-01,21680,7014,7316
2020-08-01,23129,6775,6330
2020-09-01,24711,6363,5378
2020-10-01,26166,13476,2561
